acc,label
-0.0179853,0.0
-0.0330241,0.0
-0.0734242,0.0
-0.018698,0.0
-0.018698,0.0
-6.27e-05,0.0
0.0150758,0.0
-0.00297965,0.0
0.0090375,0.0
0.0090375,0.0
-0.00132901,0.0
-0.00132901,0.0
0.0173101,0.0
-0.054416,0.0
-0.0363142,0.0
-0.0363142,0.0
-0.0305662,0.0
-0.0462917,0.0
-0.0461746,0.0
-0.0461746,0.0
-0.0277996,0.0
-0.0532836,0.0
0.00805429,0.0
0.00805429,0.0
-0.0156482,0.0
-0.00301925,0.0
-0.00301925,0.0
-0.0116032,0.0
-0.0389737,0.0
-0.0539637,0.0
-0.0542736,0.0
-0.0542736,0.0
-0.0783781,0.0
-0.0606936,0.0
-0.0482772,0.0
-0.0482772,0.0
0.0133977,0.0
-0.00871669,0.0
-0.0102049,0.0
-0.0102049,0.0
0.0201684,0.0
0.0024998,0.0
-0.0153685,0.0
-0.0153685,0.0
-0.0153685,0.0
-0.0503255,0.0
-0.0503255,0.0
-0.0194035,0.0
-0.042262,0.0
-0.0420365,0.0
-0.0420365,0.0
-0.0478322,0.0
-0.0108694,0.0
-0.0600141,0.0
-0.0600141,0.0
-0.0321844,0.0
-0.0308309,0.0
-0.030683,0.0
-0.030683,0.0
-0.0185173,0.0
-0.0669177,0.0
-0.0421672,0.0
-0.0421672,0.0
-0.0421408,0.0
-0.0293445,0.0
-0.0600543,0.0
-0.0600543,0.0
-0.0355198,0.0
-0.0231266,0.0
-0.0231266,0.0
-0.0234701,0.0
-0.0239178,0.0
-0.0782358,0.0
-0.0782358,0.0
-0.041753,0.0
-0.0174411,0.0
-0.0290885,0.0
-0.0226047,0.0
-0.0226047,0.0
-0.0423076,0.0
-0.0363672,0.0
-0.0363672,0.0
-0.0450216,0.0
-0.0450216,0.0
-0.0669029,0.0
-0.0727762,0.0
-0.0622144,0.0
-0.044788,0.0
-0.0580617,0.0
-0.0580617,0.0
-0.0388229,0.0
0.00832911,0.0
0.0136741,0.0
-0.00520093,0.0
0.0179662,0.0
0.0427229,0.0
0.0179817,0.0
0.0179817,0.0
0.0179817,0.0
0.000852266,0.0
0.000852266,0.0
-0.034916,0.0
0.0105457,0.0
-0.0318304,0.0
-0.0318304,0.0
-0.0737939,0.0
-0.0526719,0.0
-0.0278329,0.0
-0.0278329,0.0
-0.0386083,0.0
-0.101631,0.0
-0.114139,0.0
-0.107705,0.0
-0.107705,0.0
-0.105771,0.0
-0.0996708,0.0
-0.0996708,0.0
-0.0681592,0.0
-0.0681592,0.0
-0.0929164,0.0
-0.0929164,0.0
-0.0275782,0.0
-0.0154329,0.0
0.0094681,0.0
0.032402,0.0
0.0510907,0.0
0.0510907,0.0
0.0767522,0.0
0.0767522,0.0
0.0445212,0.0
0.00233396,0.0
0.00233396,0.0
0.0215947,0.0
-0.0247584,0.0
-0.0247584,0.0
-0.0247584,0.0
-0.0409617,0.0
-0.0529691,0.0
-0.0529691,0.0
-0.0529691,0.0
-0.0623605,0.0
-0.115225,0.0
-0.115082,0.0
-0.115082,0.0
-0.107625,0.0
-0.0957296,0.0
-0.0475139,0.0
-0.0475139,0.0
-0.0549583,0.0
-0.0425248,0.0
-0.0425248,0.0
-0.00796078,0.0
-0.00408166,0.0
-0.0102169,0.0
-0.0102169,0.0
-0.0307713,0.0
-0.00630241,0.0
-0.0263381,0.0
-0.0263381,0.0
-0.016121,0.0
-0.00990586,0.0
-0.00990586,0.0
-0.00990586,0.0
-0.0633283,0.0
-0.0441044,0.0
-0.0622456,0.0
-0.0622456,0.0
-0.0781362,0.0
-0.0781362,0.0
-0.0781362,0.0
-0.0635405,0.0
-0.0635405,0.0
-0.0217677,0.0
-0.0341482,0.0
-0.0341482,0.0
-0.00929752,0.0
-0.0277141,0.0
-0.0199501,0.0
-0.0199501,0.0
-0.0599279,0.0
-0.0783717,0.0
-0.0783717,0.0
-0.108897,0.0
-0.0654848,0.0
-0.0408735,0.0
-0.0408735,0.0
0.00273157,0.0
-0.0206109,0.0
-0.0206109,0.0
-0.0206109,0.0
-0.00532627,0.0
-0.00532627,0.0
-0.0550279,0.0
-0.061561,0.0
-0.061561,0.0
-0.061561,0.0
-0.0123467,0.0
-0.0123467,0.0
-0.0368196,0.0
-0.0483641,0.0
-0.0367551,0.0
-0.0367551,0.0
0.00630083,0.0
-0.0117504,0.0
-0.0117504,0.0
-0.00972873,0.0
-0.0687696,0.0
-0.0751594,0.0
-0.0751594,0.0
-0.0745461,0.0
-0.054446,0.0
-0.0667823,0.0
-0.0667823,0.0
-0.0299699,0.0
-0.0103969,0.0
-0.0103969,0.0
-0.0103969,0.0
-0.0365945,0.0
-0.0365945,0.0
-0.0402782,0.0
-0.0402782,0.0
-0.0567519,0.0
-0.0431765,0.0
-0.0431765,0.0
-0.0366931,0.0
-0.0544789,0.0
-0.035695,0.0
-0.035695,0.0
-0.065576,0.0
-0.0470685,0.0
-0.0220493,0.0
-0.0220493,0.0
-0.0831783,0.0
-0.0361433,0.0
-0.0306231,0.0
-0.0306231,0.0
-0.0171851,0.0
-0.0656521,0.0
-0.0411635,0.0
-0.0411635,0.0
-0.0600562,0.0
-0.0600562,0.0
-0.0294772,0.0
-0.0294772,0.0
-0.0143422,0.0
-0.00447336,0.0
-0.00585249,0.0
-0.00585249,0.0
-0.0365894,0.0
-0.0365203,0.0
-0.0299031,0.0
-0.0299031,0.0
-0.0425623,0.0
-0.0615431,0.0
-0.0124065,0.0
-0.0124065,0.0
-0.0306697,0.0
-0.066684,0.0
-0.0490146,0.0
-0.0490146,0.0
-0.00729442,0.0
-0.0245644,0.0
-0.01827,0.0
-0.00616261,0.0
-0.0302451,0.0
-0.0788845,0.0
-0.0840423,0.0
-0.0664387,0.0
-0.0538747,0.0
-0.0292027,0.0
-0.0292027,0.0
-0.0237273,0.0
-0.0278658,0.0
-0.0392649,0.0
-0.0392649,0.0
-0.0538146,0.0
-0.0238502,0.0
-0.0238502,0.0
-0.0181122,0.0
-0.0555598,0.0
-0.0501808,0.0
-0.00139851,0.0
-0.00178322,0.0
-0.00178322,0.0
-0.0256187,0.0
-0.0256187,0.0
-0.055441,0.0
-0.00624475,0.0
-0.048738,0.0
-0.048738,0.0
-0.109271,0.0
-0.0967964,0.0
-0.0660051,0.0
-0.0660051,0.0
-0.0558901,0.0
-0.0255873,0.0
-0.0255873,0.0
0.00260019,0.0
0.0190175,0.0
0.00391436,0.0
-0.021995,0.0
-0.01527,0.0
-0.0624908,0.0
-0.0624908,0.0
-0.0736913,0.0
-0.0736913,0.0
-0.0386333,0.0
-0.0439065,0.0
-0.0461444,0.0
-0.0212715,0.0
-0.0212715,0.0
-0.0224486,0.0
-0.0224486,0.0
-0.0224486,0.0
-0.0526157,0.0
-0.0158791,0.0
-0.0158791,0.0
-0.0389965,0.0
-0.0936029,0.0
-0.0998847,0.0
-0.0998847,0.0
-0.0503075,0.0
-0.034887,0.0
-0.034887,0.0
-0.0404908,0.0
-0.0367672,0.0
-0.0223649,0.0
-0.0405371,0.0
-0.0405371,0.0
-0.0501135,0.0
-0.0439043,0.0
-0.0439043,0.0
-0.12317,0.0
-0.079894,0.0
-0.0498096,0.0
-0.0498096,0.0
-0.049813,0.0
-0.0137487,0.0
-0.00697075,0.0
-0.0431906,0.0
-0.0386783,0.0
-0.0386783,0.0
-0.0621888,0.0
-0.0621888,0.0
-0.0433511,0.0
-0.0126306,0.0
-0.0366378,0.0
-0.0366378,0.0
-0.0427527,0.0
-0.0474449,0.0
-0.0474449,0.0
-0.0587142,0.0
-0.088368,0.0
-0.0212575,0.0
-0.0633345,0.0
-0.0633345,0.0
-0.0433536,0.0
-0.0375187,0.0
-0.0183355,0.0
-0.0183355,0.0
-0.040989,0.0
-0.040989,0.0
-0.0689582,0.0
-0.0689582,0.0
-0.0696027,0.0
-0.038766,0.0
-0.038766,0.0
-0.0221208,0.0
0.0257618,0.0
-0.0166248,0.0
-0.0166248,0.0
-0.0177227,0.0
-0.0177227,0.0
-0.0594619,0.0
-0.0594619,0.0
-0.0840519,0.0
-0.0532141,0.0
-0.0532141,0.0
-0.0532141,0.0
-0.000396237,0.0
-0.000396237,0.0
-0.0148296,0.0
-0.0148296,0.0
-0.0629505,0.0
-0.0629027,0.0
-0.0441852,0.0
-0.0441852,0.0
-0.0557167,0.0
-0.0624435,0.0
-0.0626567,0.0
-0.0626567,0.0
-0.0140527,0.0
0.0109766,0.0
0.00554588,0.0
0.00554588,0.0
-0.0460217,0.0
-0.0949076,0.0
-0.0949076,0.0
-0.0638318,0.0
-0.0490575,0.0
-0.0861406,0.0
-0.06718,0.0
-0.0515764,0.0
-0.0515764,0.0
-0.0083238,0.0
0.0503765,0.0
0.0503765,0.0
0.0220876,0.0
0.0220876,0.0
0.0258147,0.0
0.0258147,0.0
-0.0379892,0.0
-0.113697,0.0
-0.119895,0.0
-0.138229,0.0
-0.173108,0.0
-0.148573,0.0
-0.148573,0.0
-0.0755947,0.0
-0.0121799,0.0
0.0140156,0.0
0.0140156,0.0
0.0282503,0.0
0.0537347,0.0
0.0177768,0.0
0.0177768,0.0
0.0185313,0.0
-0.0511136,0.0
-0.0511136,0.0
-0.0078646,0.0
-0.0170365,0.0
-0.089782,0.0
-0.089782,0.0
-0.0868826,0.0
-0.0943812,0.0
-0.0636633,0.0
-0.0636633,0.0
-0.0564523,0.0
-0.00551373,0.0
0.000349143,0.0
0.000349143,0.0
0.0228439,0.0
-0.0376325,0.0
-0.0376325,0.0
-0.0496877,0.0
-0.0600643,0.0
-0.114684,0.0
-0.0844017,0.0
-0.0844017,0.0
-0.0602776,0.0
-0.0721225,0.0
-0.0414925,0.0
-0.0414925,0.0
0.0308531,0.0
0.0437014,0.0
0.0437014,0.0
0.00266796,0.0
-0.0155416,0.0
-0.00904653,0.0
-0.00904653,0.0
-0.0445643,0.0
-0.044959,0.0
-0.0616733,0.0
-0.0555485,0.0
-0.0555485,0.0
-0.0854319,0.0
-0.0854319,0.0
-0.0573329,0.0
-0.0630376,0.0
-0.0137833,0.0
-0.0812134,0.0
-0.0812134,0.0
-0.0812134,0.0
-0.0336345,0.0
-0.0336345,0.0
-0.0410699,0.0
-0.0726005,0.0
-0.0668858,0.0
-0.0668858,0.0
-0.0441565,0.0
-0.0518156,0.0
-0.0205662,0.0
-0.0205662,0.0
-0.0205662,0.0
-0.0103664,0.0
-0.0654935,0.0
-0.0654935,0.0
-0.00357451,0.0
-0.00357451,0.0
-0.0159304,0.0
-0.0159304,0.0
-0.0716048,0.0
-0.0122512,0.0
-0.0365806,0.0
-0.0365806,0.0
-0.0365806,0.0
-0.0030196,0.0
-0.0332631,0.0
-0.0332631,0.0
-0.0628749,0.0
-0.080295,0.0
-0.0867646,0.0
-0.0867646,0.0
-0.10298,0.0
-0.0725996,0.0
-0.0725996,0.0
-0.0603108,0.0
-0.0602837,0.0
-0.0602837,0.0
-0.0352596,0.0
-0.0367237,0.0
-0.036382,0.0
-0.036382,0.0
-0.0379667,0.0
-0.0128671,0.0
-0.0428308,0.0
-0.0387696,0.0
-0.0691026,0.0
-0.0691026,0.0
-0.036275,0.0
-0.0366089,0.0
-0.0366089,0.0
-0.0366089,0.0
-0.00664123,0.0
-0.00664123,0.0
-0.0319549,0.0
-0.0255326,0.0
-0.0561577,0.0
-0.0561577,0.0
-0.0118175,0.0
-0.022111,0.0
-0.0401052,0.0
-0.0401052,0.0
-0.0694648,0.0
-0.0682695,0.0
-0.068336,0.0
-0.0558193,0.0
-0.0247441,0.0
-0.00940893,0.0
-0.00940893,0.0
-0.0274289,0.0
-0.0241328,0.0
0.00859125,0.0
-0.0396066,0.0
-0.0396066,0.0
-0.106061,0.0
-0.106061,0.0
-0.105777,0.0
-0.105777,0.0
-0.0598346,0.0
-0.00890813,0.0
-0.0142658,0.0
-0.0142658,0.0
-0.00527652,0.0
-0.00403529,0.0
-0.0400241,0.0
-0.0400241,0.0
-0.0960821,0.0
-0.108581,0.0
-0.108581,0.0
-0.101951,0.0
-0.0779834,0.0
-0.016656,0.0
-0.016656,0.0
0.0325147,0.0
0.0330947,0.0
0.0274852,0.0
0.0274852,0.0
0.000984434,0.0
-0.0019085,0.0
-0.0567451,0.0
-0.0504596,0.0
-0.0504596,0.0
-0.0718278,0.0
-0.0577886,0.0
-0.0577886,0.0
-0.0454623,0.0
-0.0641346,0.0
-0.0473754,0.0
-0.0473754,0.0
-0.0285284,0.0
0.0185767,0.0
0.0185767,0.0
-0.00156361,0.0
-0.0195213,0.0
-0.0189397,0.0
-0.0189397,0.0
-0.0353398,0.0
-0.060029,0.0
-0.0662567,0.0
-0.0662567,0.0
-0.0469671,0.0
-0.0469671,0.0
-0.0465755,0.0
-0.0465755,0.0
-0.0745698,0.0
-0.0497549,0.0
-0.0372639,0.0
-0.0372639,0.0
-0.0519177,0.0
-0.0153615,0.0
-0.0148773,0.0
-0.0148773,0.0
-0.039688,0.0
-0.0106535,0.0
-0.0106535,0.0
-0.0224293,0.0
-0.0349474,0.0
-0.0469093,0.0
-0.0587447,0.0
-0.0587447,0.0
-0.0527359,0.0
-0.0408395,0.0
-0.0408395,0.0
-0.0645913,0.0
-0.0632549,0.0
-0.0387419,0.0
-0.0387419,0.0
-0.0447603,0.0
-0.00962234,0.0
-0.016252,0.0
-0.016252,0.0
-0.0492839,0.0
-0.0492839,0.0
-0.0341071,0.0
-0.0341071,0.0
-0.0582177,0.0
-0.0572254,0.0
-0.0572254,0.0
-0.0148638,0.0
-0.0517501,0.0
-0.0332891,0.0
-0.0332891,0.0
-0.0452299,0.0
-0.0267018,0.0
-0.0561452,0.0
-0.0554341,0.0
-0.0250519,0.0
-0.0250519,0.0
-0.0421399,0.0
-0.0421399,0.0
-0.0294828,0.0
-0.0168252,0.0
-0.0409259,0.0
-0.0409259,0.0
-0.0829953,0.0
-0.0677105,0.0
-0.0677105,0.0
-0.0677105,0.0
-0.0275605,0.0
-0.0206775,0.0
-0.0323569,0.0
-0.0323569,0.0
-0.0268866,0.0
-0.0221382,0.0
-0.0221382,0.0
-0.0337205,0.0
-0.0470238,0.0
-0.0411704,0.0
-0.0411704,0.0
-0.0836108,0.0
-0.0422689,0.0
-0.0118425,0.0
-0.0118425,0.0
-0.0233164,0.0
-0.0190232,0.0
-0.0491289,0.0
-0.0491289,0.0
-0.10382,0.0
-0.10382,0.0
-0.0357248,0.0
-0.0357248,0.0
-0.016994,0.0
0.00212506,0.0
0.0331514,0.0
0.0331514,0.0
-0.017645,0.0
-0.0267435,0.0
-0.0119523,0.0
-0.0119523,0.0
-0.0581218,0.0
-0.0574139,0.0
-0.0500434,0.0
-0.0500434,0.0
-0.0372726,0.0
-0.0249685,0.0
-0.0049884,0.0
-0.0049884,0.0
0.0197691,0.0
0.00316137,0.0
0.00316137,0.0
-0.0365501,0.0
-0.0527905,0.0
-0.0525456,0.0
-0.0711033,0.0
-0.0770537,0.0
-0.0770537,0.0
-0.0474722,0.0
-0.0474722,0.0
-0.0867088,0.0
-0.0867088,0.0
-0.0569142,0.0
-0.0569142,0.0
-0.0655385,0.0
-0.0655385,0.0
-0.0527813,0.0
-0.0527813,0.0
-0.0611587,0.0
-0.0195254,0.0
-0.0127153,0.0
-0.0127153,0.0
-0.0190599,0.0
0.0154383,0.0
-0.00232693,0.0
-0.00232693,0.0
-0.00843565,0.0
-0.0444131,0.0
-0.0444131,0.0
-0.0447878,0.0
-0.0404506,0.0
-0.0213131,0.0
-0.0213131,0.0
-0.0336597,0.0
-0.0591921,0.0
-0.0276499,0.0
-0.0276499,0.0
-0.0583606,0.0
-0.0350803,0.0
-0.0401407,0.0
-0.0401407,0.0
-0.0143307,0.0
-0.026123,0.0
-0.026123,0.0
-0.0674629,0.0
-0.0674629,0.0
-0.0417345,0.0
-0.0417778,0.0
-0.0417778,0.0
-0.0662999,0.0
-0.0865694,0.0
-0.0886624,0.0
-0.0886624,0.0
-0.131098,0.0
-0.0200949,0.0
0.00455556,0.0
0.00455556,0.0
0.0378876,0.0
0.0138356,0.0
0.0138356,0.0
0.0493388,0.0
0.0623229,0.0
0.0334877,0.0
0.0334877,0.0
-0.119217,0.0
-0.119217,0.0
-0.0973747,0.0
-0.0973747,0.0
-0.0911706,0.0
-0.0858756,0.0
-0.0858756,0.0
-0.0858756,0.0
-0.0568073,0.0
-0.033498,0.0
-0.00876332,0.0
-0.00876332,0.0
-0.00876332,0.0
-0.00337055,0.0
-0.0334181,0.0
-0.0334181,0.0
-0.0438347,0.0
-0.0678514,0.0
-0.0557626,0.0
-0.0557626,0.0
-0.0142515,0.0
-0.00179646,0.0
-0.00179646,0.0
-0.00157496,0.0
-0.0145615,0.0
-0.0386283,0.0
-0.0386283,0.0
-0.0727674,0.0
-0.0727674,0.0
-0.0607956,0.0
-0.0966299,0.0
-0.0505845,0.0
-0.0408765,0.0
-0.0114561,0.0
-0.0114561,0.0
-0.0171801,0.0
-0.0332657,0.0
-0.0571614,0.0
-0.0571614,0.0
-0.0386798,0.0
-0.0306081,0.0
-0.035239,0.0
-0.035239,0.0
-0.0768625,0.0
-0.0884773,0.0
-0.0884773,0.0
-0.0401367,0.0
-0.0333365,0.0
-0.0575101,0.0
-0.059787,0.0
-0.059787,0.0
0.00595917,0.0
-0.0124168,0.0
-0.0124168,0.0
-0.0321087,0.0
-0.0254752,0.0
-0.0254752,0.0
-0.0496982,0.0
-0.0336173,0.0
-0.0336173,0.0
-0.10688,0.0
-0.10688,0.0
-0.055441,0.0
-0.0416173,0.0
-0.0233082,0.0
-0.0233082,0.0
-0.0352126,0.0
-0.00945719,0.0
-0.0270677,0.0
-0.0270677,0.0
-0.0366259,0.0
-0.060279,0.0
-0.0477349,0.0
-0.0477349,0.0
-0.0430642,0.0
-0.0308667,0.0
-0.0611226,0.0
-0.0487828,0.0
-0.0487828,0.0
-0.0423523,0.0
-0.0423523,0.0
-0.00533636,0.0
-0.0111161,0.0
-0.0111161,0.0
0.00186687,0.0
-0.0885593,0.0
-0.0769169,0.0
-0.0799511,0.0
-0.0799511,0.0
-0.0921044,0.0
-0.0193788,0.0
-0.00747491,0.0
-0.00747491,0.0
-0.0188812,0.0
-0.00618373,0.0
-0.0419098,0.0
-0.0419098,0.0
-0.0475496,0.0
-0.070011,0.0
-0.070011,0.0
-0.0689865,0.0
-0.0390742,0.0
-0.0141139,0.0
-0.0141139,0.0
-0.0141139,0.0
-0.00277931,0.0
-0.0141929,0.0
-0.0141929,0.0
-0.0498892,0.0
-0.0694447,0.0
-0.0694447,0.0
-0.0694447,0.0
-0.032537,0.0
0.016346,0.0
0.016346,0.0
0.016346,0.0
-0.0381295,0.0
-0.0494752,0.0
-0.0371845,0.0
-0.0371845,0.0
-0.0371845,0.0
-0.0942737,0.0
-0.0699267,0.0
-0.0699267,0.0
-0.0516684,0.0
-0.0632261,0.0
-0.0632261,0.0
-0.0442343,0.0
-0.0574142,0.0
-0.0263523,0.0
-0.0263523,0.0
-0.0373404,0.0
-0.0310762,0.0
-0.0272116,0.0
-0.0272116,0.0
-0.0326019,0.0
-0.0571622,0.0
-0.0571622,0.0
-0.0335237,0.0
-0.0574224,0.0
-0.0574224,0.0
-0.0510985,0.0
-0.0510985,0.0
-0.0014896,0.0
-0.000817857,0.0
-0.0324869,0.0
-0.0324869,0.0
-0.0201286,0.0
-0.0259188,0.0
