iter	Logloss
0	0.5820208971
1	0.5010441468
2	0.4401592932
3	0.3932678543
4	0.3564174824
5	0.3261615211
6	0.3036311668
7	0.2840837214
8	0.2654063787
9	0.2522387636
10	0.2413483529
11	0.2257075692
12	0.2160404534
13	0.2089341734
14	0.1976655838
15	0.1919998728
16	0.1841935033
17	0.1792329352
18	0.1719174832
19	0.1681660851
20	0.1617744884
21	0.158839009
22	0.1556173999
23	0.1521492112
24	0.147937905
25	0.1456620421
26	0.1416665406
27	0.1396775596
28	0.1380223087
29	0.1364315118
30	0.1331284595
31	0.1309497255
32	0.1295294237
33	0.1271208266
34	0.1253771647
35	0.1233667497
36	0.1222055995
37	0.1215957846
38	0.1202220224
39	0.1183765007
40	0.1174729398
41	0.1165017981
42	0.1150388911
43	0.1142282831
44	0.1128613144
45	0.1118508293
46	0.1107052833
47	0.1098984986
48	0.1086303404
49	0.1079054165
50	0.1074226209
51	0.1063903969
52	0.1057104044
53	0.1049251288
54	0.1041845971
55	0.103432249
56	0.1026388023
57	0.1023184289
58	0.1019720529
