iter	Passed	Remaining
0	3	186
1	6	182
2	9	169
3	11	161
4	14	154
5	16	149
6	20	151
7	23	146
8	25	142
9	28	137
10	30	133
11	33	131
12	37	131
13	40	129
14	43	127
15	46	124
16	50	124
17	55	125
18	57	121
19	60	117
20	63	114
21	67	113
22	71	111
23	74	108
24	77	105
25	79	101
26	83	99
27	86	95
28	89	92
29	91	88
30	93	84
31	96	81
32	100	78
33	104	77
34	109	75
35	112	71
36	116	69
37	119	66
38	122	62
39	125	59
40	128	56
41	132	53
42	136	50
43	139	47
44	142	44
45	146	41
46	149	38
47	152	34
48	155	31
49	158	28
50	162	25
51	165	22
52	168	19
53	171	15
54	174	12
55	178	9
56	181	6
57	184	3
58	187	0
